market_name,market_id,market_address,is_shutdown,deployment_deprecated,deployment_disabled,currency,window_start_inclusive_utc,window_end_inclusive_utc,first_volume_hour_utc,last_volume_hour_utc,volume_30d_ovl,avg_24h_bucket_volume_ovl,median_24h_bucket_volume_ovl,max_24h_bucket_volume_ovl,max_24h_bucket_start_utc,max_24h_bucket_end_utc,active_24h_buckets,active_hours,hour_rows,share_30d_volume_pct,current_total_volume_ovl,number_of_builds_lifetime,number_of_unwinds_lifetime,number_of_liquidates_lifetime,explorer_url
ALT / USD,ALT%20%2F%20USD,0x132db00ea3158ad6036b54ea9921e556addf5e23,false,false,false,USD,2026-05-04T13:00:00Z,2026-06-03T12:00:00Z,2026-06-02T18:00:00Z,2026-06-03T11:00:00Z,4311633.107627,143721.103587,0.000000,4311633.107627,2026-06-02T13:00:00Z,2026-06-03T12:00:00Z,1,11,11,0.6717,4311633.107627,15,8,2,https://bscscan.com/address/0x132db00ea3158ad6036b54ea9921e556addf5e23
BTC / USD,BTC%20%2F%20USD,0xf70770051f8c02f8a96d2d01f1c521555bb15203,false,false,false,USD,2026-05-04T13:00:00Z,2026-06-03T12:00:00Z,2026-05-06T11:00:00Z,2026-06-02T16:00:00Z,3210656.932075,107021.897735,1437.962298,1718107.412783,2026-05-15T13:00:00Z,2026-05-16T12:00:00Z,17,39,39,0.5002,44119559.688988,318,244,71,https://bscscan.com/address/0xf70770051f8c02f8a96d2d01f1c521555bb15203
Will Brazil Win the 2026 FIFA World Cup,Will%20Brazil%20Win%20the%202026%20FIFA%20World%20Cup,0x1869b4818ff2d111102126f235cfcd0a8468f558,false,false,false,PERCENTAGE,2026-05-04T13:00:00Z,2026-06-03T12:00:00Z,2026-05-23T00:00:00Z,2026-05-23T00:00:00Z,176883.685587,5896.122852,0.000000,176883.685587,2026-05-22T13:00:00Z,2026-05-23T12:00:00Z,1,1,1,0.0276,177738.955427,6,2,1,https://bscscan.com/address/0x1869b4818ff2d111102126f235cfcd0a8468f558
ETH / USD,ETH%20%2F%20USD,0xd214f7d05406fc28557625aa0c0da71458e0cc6c,false,false,false,USD,2026-05-04T13:00:00Z,2026-06-03T12:00:00Z,2026-05-06T11:00:00Z,2026-06-02T16:00:00Z,153353.909543,5111.796984,0.000000,42500.401177,2026-05-13T13:00:00Z,2026-05-14T12:00:00Z,9,11,11,0.0239,23217813.378901,266,211,54,https://bscscan.com/address/0xd214f7d05406fc28557625aa0c0da71458e0cc6c
ASTER vs MYX,ASTER%20vs%20MYX,0x377d6e6647189aa7ea9a5e12f4bdc7ecaebb7d45,false,false,false,,2026-05-04T13:00:00Z,2026-06-03T12:00:00Z,2026-05-07T08:00:00Z,2026-05-26T08:00:00Z,149307.268717,4976.908957,0.000000,25000.000000,2026-05-11T13:00:00Z,2026-05-12T12:00:00Z,11,14,14,0.0233,2387172.011971,220,160,71,https://bscscan.com/address/0x377d6e6647189aa7ea9a5e12f4bdc7ecaebb7d45
Double or Nothing,Double%20or%20Nothing,0x026a7f4bee2f79c8b605a141ce15d61a6f0a078e,false,false,false,,2026-05-04T13:00:00Z,2026-06-03T12:00:00Z,2026-05-04T16:00:00Z,2026-05-23T20:00:00Z,122175.056959,4072.501898,0.000000,29302.363248,2026-05-19T13:00:00Z,2026-05-20T12:00:00Z,12,52,52,0.0190,343004.692420,252,102,151,https://bscscan.com/address/0x026a7f4bee2f79c8b605a141ce15d61a6f0a078e
Will France Win the 2026 FIFA World Cup,Will%20France%20Win%20the%202026%20FIFA%20World%20Cup,0x8230c9209c8f316597b45b7dbf3b361bef0441ea,false,false,false,PERCENTAGE,2026-05-04T13:00:00Z,2026-06-03T12:00:00Z,2026-05-23T00:00:00Z,2026-06-02T08:00:00Z,117813.657514,3927.121917,0.000000,68179.715779,2026-05-22T13:00:00Z,2026-05-23T12:00:00Z,2,2,2,0.0184,117821.871812,4,0,2,https://bscscan.com/address/0x8230c9209c8f316597b45b7dbf3b361bef0441ea
GOLD / SILVER,GOLD%20%2F%20SILVER,0xe45ac085f79a6719d5754431f922332e9e73c4a9,false,false,false,,2026-05-04T13:00:00Z,2026-06-03T12:00:00Z,2026-05-11T19:00:00Z,2026-05-24T03:00:00Z,101365.588824,3378.852960,0.000000,101064.557190,2026-05-13T13:00:00Z,2026-05-14T12:00:00Z,3,4,4,0.0158,1132723.255514,72,56,6,https://bscscan.com/address/0xe45ac085f79a6719d5754431f922332e9e73c4a9
Will England Win the 2026 FIFA World Cup,Will%20England%20Win%20the%202026%20FIFA%20World%20Cup,0x0f0e0e8d16cb7975af985cba2f4411bcb2d338a6,false,false,false,PERCENTAGE,2026-05-04T13:00:00Z,2026-06-03T12:00:00Z,2026-05-23T00:00:00Z,2026-05-23T00:00:00Z,83887.433697,2796.247789,0.000000,83887.433697,2026-05-22T13:00:00Z,2026-05-23T12:00:00Z,1,1,1,0.0131,83895.641427,5,1,1,https://bscscan.com/address/0x0f0e0e8d16cb7975af985cba2f4411bcb2d338a6
BTC Dominance,BTC%20Dominance,0xb574757a7865249e04872ad6a081ddddea79b9b2,false,false,false,PERCENTAGE,2026-05-04T13:00:00Z,2026-06-03T12:00:00Z,2026-05-11T21:00:00Z,2026-05-12T06:00:00Z,62876.982865,2095.899428,0.000000,62876.982865,2026-05-11T13:00:00Z,2026-05-12T12:00:00Z,1,2,2,0.0098,198804.492844,25,18,5,https://bscscan.com/address/0xb574757a7865249e04872ad6a081ddddea79b9b2
